,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
MinTemp,1.0,0.74,0.1,0.47,0.07,0.18,0.18,0.18,-0.23,0.01,-0.45,-0.46,0.08,0.02,0.9,0.71
MaxTemp,0.74,1.0,-0.07,0.59,0.47,0.07,0.01,0.05,-0.5,-0.51,-0.33,-0.43,-0.29,-0.28,0.89,0.98
Rainfall,0.1,-0.07,1.0,-0.06,-0.23,0.13,0.09,0.06,0.22,0.26,-0.17,-0.13,0.2,0.17,0.01,-0.08
Evaporation,0.47,0.59,-0.06,1.0,0.37,0.2,0.19,0.13,-0.5,-0.39,-0.27,-0.29,-0.18,-0.18,0.55,0.57
Sunshine,0.07,0.47,-0.23,0.37,1.0,-0.03,0.01,0.05,-0.49,-0.63,0.04,-0.02,-0.68,-0.7,0.29,0.49
WindGustSpeed,0.18,0.07,0.13,0.2,-0.03,1.0,0.61,0.69,-0.22,-0.03,-0.46,-0.41,0.07,0.11,0.15,0.03
WindSpeed9am,0.18,0.01,0.09,0.19,0.01,0.61,1.0,0.52,-0.27,-0.03,-0.23,-0.18,0.03,0.05,0.13,0.0
WindSpeed3pm,0.18,0.05,0.06,0.13,0.05,0.69,0.52,1.0,-0.15,0.02,-0.3,-0.26,0.05,0.03,0.16,0.03
Humidity9am,-0.23,-0.5,0.22,-0.5,-0.49,-0.22,-0.27,-0.15,1.0,0.67,0.14,0.19,0.45,0.36,-0.47,-0.5
Humidity3pm,0.01,-0.51,0.26,-0.39,-0.63,-0.03,-0.03,0.02,0.67,1.0,-0.03,0.05,0.52,0.52,-0.22,-0.56
Pressure9am,-0.45,-0.33,-0.17,-0.27,0.04,-0.46,-0.23,-0.3,0.14,-0.03,1.0,0.96,-0.13,-0.15,-0.42,-0.29
Pressure3pm,-0.46,-0.43,-0.13,-0.29,-0.02,-0.41,-0.18,-0.26,0.19,0.05,0.96,1.0,-0.06,-0.08,-0.47,-0.39
Cloud9am,0.08,-0.29,0.2,-0.18,-0.68,0.07,0.03,0.05,0.45,0.52,-0.13,-0.06,1.0,0.6,-0.14,-0.3
Cloud3pm,0.02,-0.28,0.17,-0.18,-0.7,0.11,0.05,0.03,0.36,0.52,-0.15,-0.08,0.6,1.0,-0.13,-0.32
Temp9am,0.9,0.89,0.01,0.55,0.29,0.15,0.13,0.16,-0.47,-0.22,-0.42,-0.47,-0.14,-0.13,1.0,0.86
Temp3pm,0.71,0.98,-0.08,0.57,0.49,0.03,0.0,0.03,-0.5,-0.56,-0.29,-0.39,-0.3,-0.32,0.86,1.0
